Price hub,Trade date,Delivery start date,"Delivery 
end date",High price $/MWh,Low price $/MWh,Wtd avg price $/MWh,Change,Daily volume MWh,Number of trades,Number of counterparties
Indiana Hub RT Peak,2025-01-03,2025-01-06 00:00:00,2025-01-06 00:00:00,58.0,53.5,56.45,13.95,2400,3,5
Indiana Hub RT Peak,2025-01-08,2025-01-09 00:00:00,2025-01-09 00:00:00,47.6,47.6,47.6,-8.85,         800,1,2
Indiana Hub RT Peak,2025-01-09,2025-01-10 00:00:00,2025-01-10 00:00:00,44.9,42.5,43.7,-3.9,"       1,600",2,3
Indiana Hub RT Peak,2025-01-13,2025-01-14 00:00:00,2025-01-14 00:00:00,56.5,56.5,56.5,12.8,800,1,2
Indiana Hub RT Peak,2025-01-17,2025-01-20 00:00:00,2025-01-20 00:00:00,140.0,125.0,129.3,72.8,4000,5,8
Indiana Hub RT Peak,2025-01-20,2025-01-21 00:00:00,2025-01-21 00:00:00,150.0,150.0,150.0,20.7,800,1,2
Indiana Hub RT Peak,2025-01-21,2025-01-22 00:00:00,2025-01-22 00:00:00,100.0,100.0,100.0,-50.0,800,1,2
Indiana Hub RT Peak,2025-02-06,2025-02-07 00:00:00,2025-02-07 00:00:00,44.75,43.3,44.33,-19.67,3200,4,6
Indiana Hub RT Peak,2025-02-11,2025-02-12 00:00:00,2025-02-12 00:00:00,50.0,50.0,50.0,5.67,800,1,2
Indiana Hub RT Peak,2025-02-13,2025-02-14 00:00:00,2025-02-14 00:00:00,45.0,45.0,45.0,-5.0,800,1,2
Indiana Hub RT Peak,2025-02-20,2025-02-21 00:00:00,2025-02-21 00:00:00,82.0,80.0,81.0,-34.0,1600,2,3
Indiana Hub RT Peak,2025-03-13,2025-03-14 00:00:00,2025-03-14 00:00:00,40.5,40.5,40.5,-40.5,800,1,2
Indiana Hub RT Peak,2025-04-07,2025-04-08 00:00:00,2025-04-08 00:00:00,53.75,53.75,53.75,13.25,800,1,2
Indiana Hub RT Peak,2025-05-13,2025-05-14 00:00:00,2025-05-14 00:00:00,50.0,50.0,50.0,-3.75,800,1,2
Indiana Hub RT Peak,2025-06-13,2025-06-16 00:00:00,2025-06-16 00:00:00,43.75,43.75,43.75,0.25,800,1,2
Indiana Hub RT Peak,2025-06-17,2025-06-18 00:00:00,2025-06-18 00:00:00,49.0,48.0,48.33,4.58,2400,3,3
